    position    Gaussian        Step       Sin_2       Sin_4
 -1.0000e+00  1.6270e-02  1.7877e-04 -3.9920e-05 -5.1060e-05
 -9.9000e-01  1.6330e-02  1.6501e-04 -1.8780e-05 -2.2142e-05
 -9.8000e-01  1.6533e-02  1.6506e-04  1.7506e-06  6.3684e-06
 -9.7000e-01  1.6879e-02  1.7946e-04  2.3344e-05  3.6642e-05
 -9.6000e-01  1.7370e-02  2.0967e-04  4.7798e-05  7.1020e-05
 -9.5000e-01  1.8006e-02  2.5815e-04  7.7143e-05  1.1214e-04
 -9.4000e-01  1.8789e-02  3.2851e-04  1.1376e-04  1.6305e-04
 -9.3000e-01  1.9723e-02  4.2562e-04  1.6049e-04  2.2735e-04
 -9.2000e-01  2.0809e-02  5.5582e-04  2.2082e-04  3.0936e-04
 -9.1000e-01  2.2052e-02  7.2713e-04  2.9899e-04  4.1425e-04
 -9.0000e-01  2.3455e-02  9.4956e-04  4.0020e-04  5.4819e-04
 -8.9000e-01  2.5021e-02  1.2353e-03  5.3084e-04  7.1859e-04
 -8.8000e-01  2.6757e-02  1.5992e-03  6.9865e-04  9.3422e-04
 -8.7000e-01  2.8666e-02  2.0590e-03  9.1302e-04  1.2054e-03
 -8.6000e-01  3.0754e-02  2.6356e-03  1.1852e-03  1.5441e-03
 -8.5000e-01  3.3027e-02  3.3536e-03  1.5287e-03  1.9644e-03
 -8.4000e-01  3.5492e-02  4.2416e-03  1.9593e-03  2.4820e-03
 -8.3000e-01  3.8154e-02  5.3324e-03  2.4958e-03  3.1149e-03
 -8.2000e-01  4.1021e-02  6.6637e-03  3.1597e-03  3.8831e-03
 -8.1000e-01  4.4101e-02  8.2777e-03  3.9761e-03  4.8087e-03
 -8.0000e-01  4.7400e-02  1.0222e-02  4.9734e-03  5.9156e-03
 -7.9000e-01  5.0927e-02  1.2548e-02  6.1839e-03  7.2295e-03
 -7.8000e-01  5.4690e-02  1.5315e-02  7.6436e-03  8.7770e-03
 -7.7000e-01  5.8697e-02  1.8584e-02  9.3924e-03  1.0586e-02
 -7.6000e-01  6.2957e-02  2.2421e-02  1.1474e-02  1.2684e-02
 -7.5000e-01  6.7478e-02  2.6899e-02  1.3936e-02  1.5099e-02
 -7.4000e-01  7.2269e-02  3.2090e-02  1.6829e-02  1.7856e-02
 -7.3000e-01  7.7339e-02  3.8070e-02  2.0206e-02  2.0978e-02
 -7.2000e-01  8.2697e-02  4.4918e-02  2.4122e-02  2.4485e-02
 -7.1000e-01  8.8351e-02  5.2711e-02  2.8635e-02  2.8392e-02
 -7.0000e-01  9.4310e-02  6.1524e-02  3.3801e-02  3.2706e-02
 -6.9000e-01  1.0058e-01  7.1431e-02  3.9675e-02  3.7429e-02
 -6.8000e-01  1.0718e-01  8.2499e-02  4.6311e-02  4.2553e-02
 -6.7000e-01  1.1410e-01  9.4791e-02  5.3757e-02  4.8060e-02
 -6.6000e-01  1.2136e-01  1.0836e-01  6.2056e-02  5.3921e-02
 -6.5000e-01  1.2896e-01  1.2324e-01  7.1242e-02  6.0096e-02
 -6.4000e-01  1.3692e-01  1.3948e-01  8.1339e-02  6.6533e-02
 -6.3000e-01  1.4523e-01  1.5709e-01  9.2360e-02  7.3168e-02
 -6.2000e-01  1.5390e-01  1.7606e-01  1.0430e-01  7.9924e-02
 -6.1000e-01  1.6294e-01  1.9639e-01  1.1715e-01  8.6714e-02
 -6.0000e-01  1.7235e-01  2.1805e-01  1.3086e-01  9.3442e-02
 -5.9000e-01  1.8214e-01  2.4099e-01  1.4539e-01  1.0000e-01
 -5.8000e-01  1.9230e-01  2.6514e-01  1.6064e-01  1.0629e-01
 -5.7000e-01  2.0284e-01  2.9042e-01  1.7654e-01  1.1218e-01
 -5.6000e-01  2.1376e-01  3.1674e-01  1.9294e-01  1.1757e-01
 -5.5000e-01  2.2506e-01  3.4398e-01  2.0972e-01  1.2234e-01
 -5.4000e-01  2.3673e-01  3.7201e-01  2.2671e-01  1.2640e-01
 -5.3000e-01  2.4878e-01  4.0068e-01  2.4371e-01  1.2965e-01
 -5.2000e-01  2.6119e-01  4.2987e-01  2.6053e-01  1.3201e-01
 -5.1000e-01  2.7398e-01  4.5939e-01  2.7694e-01  1.3342e-01
 -5.0000e-01  2.8711e-01  4.8910e-01  2.9270e-01  1.3383e-01
 -4.9000e-01  3.0060e-01  5.1882e-01  3.0758e-01  1.3322e-01
 -4.8000e-01  3.1443e-01  5.4840e-01  3.2131e-01  1.3160e-01
 -4.7000e-01  3.2859e-01  5.7766e-01  3.3364e-01  1.2899e-01
 -4.6000e-01  3.4307e-01  6.0646e-01  3.4432e-01  1.2543e-01
 -4.5000e-01  3.5785e-01  6.3465e-01  3.5310e-01  1.2101e-01
 -4.4000e-01  3.7293e-01  6.6209e-01  3.5975e-01  1.1580e-01
 -4.3000e-01  3.8827e-01  6.8866e-01  3.6406e-01  1.0993e-01
 -4.2000e-01  4.0387e-01  7.1424e-01  3.6583e-01  1.0351e-01
 -4.1000e-01  4.1971e-01  7.3875e-01  3.6491e-01  9.6682e-02
 -4.0000e-01  4.3576e-01  7.6209e-01  3.6116e-01  8.9583e-02
 -3.9000e-01  4.5201e-01  7.8421e-01  3.5448e-01  8.2357e-02
 -3.8000e-01  4.6842e-01  8.0507e-01  3.4483e-01  7.5142e-02
 -3.7000e-01  4.8498e-01  8.2462e-01  3.3219e-01  6.8068e-02
